,Caretaker,Generator,Tank,Line ID,Stock number,DoB,Age assessment
0,AO,AO,083,SMU,F252,26.07.2019,Too old
1,AO,AO,094,38 /100,F492,19.02.2020,Too old
2,AO,AO,121,38 /101,F428,07.01.2020,Too old
3,AO,AO,37,dicer 24,F480,12.02.2020,Too old
4,AO,AO,391,SMU,F349,26.10.2019,Too old
5,AO,AA,432,38 /100,F417,05.12.2019,Too old
6,AO,AA,438,38 /100,F416,05.12.2019,Too old
7,AO,AO,537,dicer 24,F597,29.05.2020,Old
8,AO,AO,538,dicer 24,F595,29.05.2020,Old
9,AO,AO,539,dicer 24,F594,29.05.2020,Old
10,AO,AO,540,dicer 24,F592,29.05.2020,Old
11,AO,AO,562,dicer 24,F593,29.05.2020,Old
12,AO,AO,92,gsSpt,F502,27.02.2020,Too old
13,AO,AO,944,gsSpt,F541,19.03.2020,Old
14,AO,AO,946,dicer,F500,23.02.2020,Too old
15,AO,AO,948,dicer,F508,23.02.2020,Too old
16,AO,AO,949,dicer,F510,23.02.2020,Too old
17,AO,AO,953,dicer,F507,23.02.2020,Too old
18,AO,AO,961,dicer 24,F501,25.02.2020,Too old
19,AO,AO,H133,38 /101,F493,18.02.2020,Too old
20,AO,AO,,dicer 24,F591,29.05.2020,Old
21,AO,AO,,dicer 24,F596,29.05.2020,Old
22,DH,AG,515,dazl,F126,01.03.2019,Too old
23,DH,AG,516,dazl,F127,01.03.2019,Too old
24,DH,ZL,521,59,F679,05.08.2020,Old
25,DH,ZL,532,59,F693,14.08.2020,Old
26,DH,DH,60,dazl 24 /36,F688,05.08.2020,Old
27,DH,AG,609,dazl 81,F152,20.03.2019,Too old
28,DH,DH,61,dazl 24 /36,F689,05.08.2020,Old
29,DH,DH,932,24 /40,F278,29.08.2019,Too old
30,DH,JP,933,55,F264,14.08.2019,Too old
31,DH,JP,934,55,F265,14.08.2019,Too old
32,EM,EM,067,clo,F440,16.01.2020,Too old
33,EM,EM,070,ody,F461,30.01.2020,Too old
34,EM,EM,073,kny,F533,13.03.2020,Old
35,EM,EM,435,ody,F490,19.02.2020,Too old
36,EM,EM,436,med 24,F563,16.04.2020,Old
37,EM,EM,442,ody,F449,23.01.2020,Too old
38,EM,EM,443,ody,F441,16.01.2020,Too old
39,EM,EM,777,ody,F716,27.08.2020,Old
40,EM,EM,816,,F618,24.06.2020,Old
41,EM,EM,852,med 24,F718,02.09.2020,Old
42,EM,EM,869,med 24,F562,16.04.2020,Old
43,EM,EM,870,med 24,F503,26.02.2020,Too old
44,EM,EM,874,AB,F442,16.01.2020,Too old
45,ER,ER,556,177,F462,31.01.2020,Too old
46,ER,ER,,177,F469,07.02.2020,Too old
47,IS,IS,660,6,F692,12.08.2020,Old
48,IS,IS,662,6,F691,12.08.2020,Old
49,IS,IS,818,,F669,08.07.2020,Old
50,IS,IS,837,,F619,01.07.2020,Old
51,IS,IS,839,,F556,08.04.2020,Old
52,IS,IS,977,,F620,01.07.2020,Old
53,IS/MR,IS,199,75,F722,02.09.2020,Old
54,JS,JS,347,2,F437,17.01.2020,Too old
55,JS,JS,348,2,F429,10.01.2020,Too old
56,JS,JS,349,2,F453,25.01.2020,Too old
57,JS,JS,392,32,F479,13.02.2020,Too old
58,JS,JS,749,swr ta72,F564,17.04.2020,Old
59,JS,JS,,212/213,F775,20.09.2019,Too old
60,JS,JS,,myd88/213,F776,21.04.2020,Old
61,JW,KT,089,12,F355,06.11.2019,Too old
62,JW,ZL,394,Casper/57,F364,08.11.2019,Too old
63,JW,ZL,395,Casper/57,F365,08.11.2019,Too old
64,JW,ZL,395.,Casper/57,F366,08.11.2019,Too old
65,JW,ZL,560,Casper,F311,02.10.2019,Too old
66,JW,ZL,561,Casper,F312,02.10.2019,Too old
67,JW,KT,917,12,F354,06.11.2019,Too old
68,KT,KT,329,sod2 18 /24,F542,18.03.2020,Old
69,KT,KT,527.,sod2 18 /24,F525,10.03.2020,Old
70,KT,KT,553,MZspg,F526,11.03.2020,Old
71,KT,KT,627,MZspg,F514,04.03.2020,NaN
72,KT,KT,670,153,F684,06.08.2020,Old
73,KT,KT,757,154,F335,16.10.2019,Too old
74,KT,KT,H117,sod2 18 /24,F549,26.03.2020,Old
75,KT,KT,H118,139,F555,02.04.2020,Old
76,KT,KT,H122,sod2 18 /24,F558,09.04.2020,Old
77,"KT, JP",KT,0672,sod 24,F452,22.01.2020,Too old
78,"KT, JP",KT,154,sod 24,F714,26.08.2020,Old
79,"KT, JP",KT,726,sod 24,F602,08.06.2020,Old
80,"KT, JP",KT,772,sod 24,F489,18.02.2020,Too old
81,KT/CK,CK,027,Nanog/24,F540,18.03.2020,Old
82,KT/CK,DH,183,Nanog x Spg,F280,29.08.2019,Too old
83,KT/CK,KT,304,spg/57,F543,18.03.2020,Old
84,KT/CK,KT,489,Nanog/24,F468,05.02.2020,Too old
85,KT/CK,CK,490,Nanog/24,F498,20.02.2020,Too old
86,KT/CK,CK,573,Sox19b/57,F537,16.03.2020,Old
87,KT/CK,CK,717,Sox19b/24,F522,10.03.2020,Old
88,KT/CK,KT,805,spg/24,F513,04.03.2020,NaN
89,KT/MS,KT,448,158,F344,23.10.2019,Too old
90,KT/MS,KT,884,158,F345,23.10.2019,Too old
91,KW,KW,548,24,F560,09.04.2020,Old
92,KW,KW,667,78,F572,12.05.2020,Old
93,KW,KW,668,142,F567,06.05.2020,Old
94,KW,KW,674,85,F711,19.08.2020,Old
95,KW,KW,913,77,F606,10.06.2020,Old
96,KW,KW,937,24,F550,26.03.2020,Old
97,LT,LT,138,cas,F505,26.02.2020,Too old
98,LT,LT,350,24 /55,F360,05.11.2019,Too old
99,LT,LT,352,68,F715,25.08.2020,Old
100,LT,LT,387,ody 99/118,F518,04.03.2020,NaN
101,LT,LT,579,cdh2 PAC/ cdh2 Tandem,F115,20.02.2019,Too old
102,LT,LT,713,oep ody 57,F586,20.05.2020,Old
103,LT,LT,935,oep tz257,F491,19.02.2020,Too old
104,LT,LT,H154,ody 57,F323,09.10.2019,Too old
105,LT,LT,H156,ody 57,F338,17.10.2019,Too old
106,LT,LT,H74,cas,F506,26.02.2020,Too old
107,LT,LT,H75,h1m 24,F517,04.03.2020,NaN
108,LT,LT,H9,h1m 24,F300,10.09.2019,Too old
109,MO,CG,397,155,F538,17.03.2020,Old
110,MR,MR,006,183,F497,19.02.2020,Too old
111,MR,MR,095,cxcl12b,F601,09.06.2020,Old
112,MR,IS,102,18,F546,24.03.2020,Old
113,MR,IS,103,18,F552,31.03.2020,Old
114,MR,IS,104,18,F535,17.03.2020,Old
115,MR,MR,221,4,F584,21.05.2020,Old
116,MR,MR,222,mil,F454,29.01.2020,Too old
117,MR,MR,223,mil,F471,12.02.2020,Too old
118,MR,MR,239,170,F690,11.08.2020,Old
119,MR,MR,241,199,F529,13.03.2020,Old
120,MR,MR,242,cxcl12b,F473,12.02.2020,Too old
121,MR,MR,243,199,F530,13.03.2020,Old
122,MR,MR,244,200,F531,13.03.2020,Old
123,MR,MR,246,201,F668,07.07.2020,Old
124,MR,MR,247,201,F621,30.06.2020,Old
125,MR,MR,248,201,F677,05.08.2020,Old
126,MR,MR,284,170,F673,22.07.2020,Old
127,MR,MR,292,4,F569,13.05.2020,Old
128,MR,MR,293,4,F570,13.05.2020,Old
129,MR,MR,294,4,F583,21.05.2020,Old
130,MR,MR,300,170,F578,19.05.2020,Old
131,MR,MR,322,199,F600,16.06.2020,Old
132,MR,MR,326,199,F615,23.06.2020,Old
133,MR,MR,359,200,F599,10.06.2020,Old
134,MR,MR,371,170,F614,19.06.2020,Old
135,MR,MR,375,200,F609,16.06.2020,Old
136,MR,MR,637,4,F687,10.08.2020,Old
137,MR,MR,638,4,F686,10.08.2020,Old
138,MR,MR,646,57,F702,21.08.2020,Old
139,MR,MR,894,200,F610,17.06.2020,Old
140,MR,MR,904,170,F613,19.06.2020,Old
141,MR,MR,906,114,F589,28.05.2020,Old
142,MR,MR,907,114,F590,28.05.2020,Old
143,MR,MR,912,170,F672,22.07.2020,Old
144,MR,MR,921,170,F598,09.06.2020,Old
145,MR,MR,957,201,F678,05.08.2020,Old
146,MR,MR,994,57,F701,21.08.2020,Old
147,MR,MR,,38 /95,F482,18.02.2020,Too old
148,MR,MR,,202,F520,06.03.2020,Old
149,MR,MR,,202,F545,20.03.2020,Old
150,SY,SY,132,oep m134,F317,07.10.2019,Too old
151,SY,SY,428,oep m134,F339,17.10.2019,Too old
152,SY,SY,,38 /57,E837,05.07.2018,Too old
153,TL,AA,1025,118,F603,09.06.2020,Old
154,TL,AA,160,med 41,F392,18.11.2019,Too old
155,TL,ER,176,h1m,F485,18.02.2020,Too old
156,TL,ER,177,h1m,F486,18.02.2020,Too old
157,TL,AA,332,106 /118,F622,29.06.2020,Old
158,TL,AA,333,106 /118,F675,16.07.2020,Old
159,TL,AA,334,106 /118,F674,16.07.2020,Old
160,TL,AA,41,118,F394,21.11.2019,Too old
161,TL,AA,445,118,F395,21.11.2019,Too old
162,TL,AA,451,99 /118,F321,09.10.2019,Too old
163,TL,AA,452,99 /118,F322,09.10.2019,Too old
164,TL,AA,458,41,F295,10.09.2019,Too old
165,TL,AA,459,41,F294,10.09.2019,Too old
166,TL,ER,480,h1m,F488,18.02.2020,Too old
167,TL,ER,481,h1m,F487,18.02.2020,Too old
168,TL,AA,665,118,F605,09.06.2020,Old
169,TL,AA,952,38,F573,15.05.2020,Old
170,TL,AA,962,38,F574,15.05.2020,Old
171,TL,AA,H152,118,F604,09.06.2020,Old
172,TL,AA,H165,med 41,F390,18.11.2019,Too old
173,TL,AA,H167,med 41,F370,08.11.2019,Too old
174,TL,AA,H168,med 41,F391,18.11.2019,Too old
175,ZL,ZL,020,168,F664,08.07.2020,Old
176,ZL,ZL,029,han,F361,08.11.2019,Too old
177,ZL,ZL,062,din,F181,19.04.2019,Too old
178,ZL,ZL,147,193,F165,02.04.2019,Too old
179,ZL,ZL,308,187,F008,02.11.2018,Too old
180,ZL,ZL,577,noi/18,F559,08.04.2020,Old
181,ZL,ZL,597,159,F671,08.07.2020,Old
182,ZL,ZL,618,171,F665,08.07.2020,Old
183,ZL,ZL,732,159,F667,08.07.2020,Old
184,ZL,ZL,735,187,F663,07.07.2020,Old
185,ZL,ZL,,192,F164,29.03.2019,Too old
186,ZL,ZL,,noi/18,F203,07.05.2019,Too old
